# from: https://chisel.weirdgloop.org/
id,name,configName,exchangeable,members,stackable,values,examine,weight,actInv,actWorld,params,notedId,placeholderId,model,category
63,null,cert_unstrung_maple_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,62,-1,0,0
64,Maple shortbow (u),unstrung_maple_shortbow,TRUE,TRUE,0,200,An unstrung maple shortbow; I need a bowstring for this.,992,Drop,Take,"9, 50",65,18238,2435,0
65,null,cert_unstrung_maple_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,64,-1,0,0
66,Yew longbow (u),unstrung_yew_longbow,TRUE,TRUE,0,640,An unstrung yew longbow; I need a bowstring for this.,1332,Drop,Take,"9, 70",67,18239,2401,0
67,null,cert_unstrung_yew_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,66,-1,0,0
68,Yew shortbow (u),unstrung_yew_shortbow,TRUE,TRUE,0,400,An unstrung yew shortbow; I need a bowstring for this.,992,Drop,Take,"9, 65",69,18240,2435,0
69,null,cert_unstrung_yew_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,68,-1,0,0
70,Magic longbow (u),unstrung_magic_longbow,TRUE,TRUE,0,1280,An unstrung magic longbow; I need a bowstring for this.,1332,Drop,Take,"9, 85",71,18241,2401,0
71,null,cert_unstrung_magic_longbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,70,-1,0,0
72,Magic shortbow (u),unstrung_magic_shortbow,TRUE,TRUE,0,800,An unstrung magic shortbow; I need a bowstring for this.,992,Drop,Take,"9, 80",73,18242,2435,0
73,null,cert_unstrung_magic_shortbow,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,72,-1,0,0
74,Khazard helmet,khazard_helmet,FALSE,TRUE,0,30,"A helmet, as worn by the minions of General Khazard.",2721,"Wear, Drop",Take,"0, 0, 0, 0, 0, 4, 5, 3, 0, 0, 0, 0, 0, 0",-1,17427,2833,2
75,Khazard armour,khazard_platemail,FALSE,TRUE,0,30,"Armour, as worn by the minions of General Khazard.",566,"Wear, Drop",Take,"0, 0, 0, 0, 0, 9, 11, 10, 0, 0, 0, 0, 0, 0",-1,17428,2605,7
76,Khazard cell keys,khazard_cellkeys,FALSE,TRUE,0,30,These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).,10,Destroy,Take,1,-1,17429,2424,0
77,Khali brew,khali_brew,FALSE,TRUE,0,5,A bottle of Khazard's worst brew.,113,Drop,Take,,-1,17430,2660,0
78,Ice arrows,ice_arrow,FALSE,TRUE,1,2,"Can only be fired from yew, magic, dark or twisted bows.",0,"Wield, Drop",Take,"16, 40",-1,16449,2711,62
79,null,ice_arrow_4,FALSE,FALSE,1,1,,0,Drop,Take,,-1,-1,2421,0
80,null,ice_arrow_3,FALSE,FALSE,1,1,,0,Drop,Take,,-1,-1,2420,0
81,null,ice_arrow_2,FALSE,FALSE,1,1,,0,Drop,Take,,-1,-1,2419,0
82,null,ice_arrow_5,FALSE,FALSE,1,1,,0,Drop,Take,,-1,-1,2422,0
83,Lever,ikov_lever,FALSE,TRUE,0,15,A lever to open something perhaps?,56,Drop,Take,,-1,16450,2615,0
84,Staff of armadyl,ikov_staffofarmardyl,FALSE,TRUE,0,1000,The power in this staff causes it to vibrate gently.,1814,Drop,Take,1,-1,16451,50187,1
85,Shiny key,ikov_shinykey,FALSE,TRUE,0,1,It catches the light! (Quick access into the Temple of Ikov).,10,Drop,Take,,-1,16452,2372,0
86,Pendant of lucien,ikov_pendantoflucien,FALSE,TRUE,0,12,An amulet made by Lucien.,10,"Wear, Drop",Take,,-1,16453,2508,0
87,Armadyl pendant,ikov_pendantofarmardyl,FALSE,TRUE,0,12,Worn by followers of Armadyl.,10,"Wear, Drop",Take,,-1,16454,2508,0
88,Boots of lightness,ikov_bootsoflightness,FALSE,TRUE,0,6,Magic boots that make you lighter than normal.,340,"Wear, Drop",Take,"0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",-1,16455,2837,0
89,Boots of lightness,ikov_bootsoflightnessworn,FALSE,TRUE,0,6,Magic boots that make you lighter than normal.,-4535,"Wear, Drop",Take,"0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0",-1,-1,2837,0
90,Child's blanket,childs_blanket,FALSE,TRUE,0,5,It's very soft!,907,Drop,Take,,-1,17045,2725,0
91,Guam potion (unf),guamvial,TRUE,TRUE,0,3,I need another ingredient to finish this Guam potion.,56,"Empty, Drop",Take,"15, 3",92,19287,2697,69
92,null,cert_guamvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,91,-1,0,0
93,Marrentill potion (unf),marrentillvial,TRUE,TRUE,0,5,I need another ingredient to finish this Marrentill potion.,56,"Empty, Drop",Take,"15, 5",94,19288,2697,69
94,null,cert_marrentillvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,93,-1,0,0
95,Tarromin potion (unf),tarrominvial,TRUE,TRUE,0,11,I need another ingredient to finish this Tarromin potion.,56,"Empty, Drop",Take,"15, 12",96,19289,2697,69
96,null,cert_tarrominvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,95,-1,0,0
97,Harralander potion (unf),harralandervial,TRUE,TRUE,0,20,I need another ingredient to finish this Harralander potion.,56,"Empty, Drop",Take,"15, 22",98,19290,2697,69
98,null,cert_harralandervial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,97,-1,0,0
99,Ranarr potion (unf),ranarrvial,TRUE,TRUE,0,25,I need another ingredient to finish this Ranarr potion.,56,"Empty, Drop",Take,"15, 30",100,19291,2697,69
100,null,cert_ranarrvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,99,-1,0,0
101,Irit potion (unf),iritvial,TRUE,TRUE,0,40,I need another ingredient to finish this Irit potion.,56,"Empty, Drop",Take,"15, 45",102,19293,2697,69
102,null,cert_iritvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,101,-1,0,0
103,Avantoe potion (unf),avantoevial,TRUE,TRUE,0,48,I need another ingredient to finish this Avantoe potion.,56,"Empty, Drop",Take,"15, 50",104,19294,2697,69
104,null,cert_avantoevial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,103,-1,0,0
105,Kwuarm potion (unf),kwuarmvial,TRUE,TRUE,0,54,I need another ingredient to finish this Kwuarm potion.,56,"Empty, Drop",Take,"15, 55",106,19295,2697,69
106,null,cert_kwuarmvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,105,-1,0,0
107,Cadantine potion (unf),cadantinevial,TRUE,TRUE,0,65,I need another ingredient to finish this Cadantine potion.,56,"Empty, Drop",Take,"15, 66",108,19297,2697,69
108,null,cert_cadantinevial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,107,-1,0,0
109,Dwarf weed potion (unf),dwarfweedvial,TRUE,TRUE,0,70,I need another ingredient to finish this Dwarf Weed potion.,56,"Empty, Drop",Take,"15, 72",110,19299,2697,69
110,null,cert_dwarfweedvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,109,-1,0,0
111,Torstol potion (unf),torstolvial,TRUE,TRUE,0,25,I need another ingredient to finish this Torstol potion.,56,"Empty, Drop",Take,"15, 78",112,19300,2697,69
112,null,cert_torstolvial,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,111,-1,0,0
113,Strength potion(4),strength4,TRUE,FALSE,0,14,4 doses of Strength potion.,35,"Drink, Empty, Drop",Take,"2, 1002",114,15255,2789,69
114,null,cert_strength4,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,113,-1,0,0
115,Strength potion(3),3dose1strength,TRUE,FALSE,0,13,3 doses of Strength potion.,30,"Drink, Empty, Drop",Take,"15, 12, 2",116,19317,2697,69
116,null,cert_3dose1strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,115,-1,0,0
117,Strength potion(2),2dose1strength,TRUE,FALSE,0,13,2 doses of Strength potion.,25,"Drink, Empty, Drop",Take,2,118,19318,2384,69
118,null,cert_2dose1strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,117,-1,0,0
119,Strength potion(1),1dose1strength,TRUE,FALSE,0,11,1 dose of Strength potion.,20,"Drink, Empty, Drop",Take,2,120,19319,2621,69
120,null,cert_1dose1strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,119,-1,0,0
121,Attack potion(3),3dose1attack,TRUE,TRUE,0,12,3 doses of Attack potion.,30,"Drink, Empty, Drop",Take,"15, 3, 1",122,19320,2697,69
122,null,cert_3dose1attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,121,-1,0,0
123,Attack potion(2),2dose1attack,TRUE,TRUE,0,9,2 doses of Attack potion.,25,"Drink, Empty, Drop",Take,1,124,19321,2384,69
124,null,cert_2dose1attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,123,-1,0,0
125,Attack potion(1),1dose1attack,TRUE,TRUE,0,6,1 dose of Attack potion.,20,"Drink, Empty, Drop",Take,1,126,19322,2621,69
126,null,cert_1dose1attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,125,-1,0,0
127,Restore potion(3),3dosestatrestore,TRUE,TRUE,0,88,3 doses of restore potion.,30,"Drink, Empty, Drop",Take,"15, 22, 16",128,19323,2697,69
128,null,cert_3dosestatrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,127,-1,0,0
129,Restore potion(2),2dosestatrestore,TRUE,TRUE,0,66,2 doses of restore potion.,25,"Drink, Empty, Drop",Take,16,130,19324,2384,69
130,null,cert_2dosestatrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,129,-1,0,0
131,Restore potion(1),1dosestatrestore,TRUE,TRUE,0,44,1 dose of restore potion.,20,"Drink, Empty, Drop",Take,16,132,19325,2621,69
132,null,cert_1dosestatrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,131,-1,0,0
133,Defence potion(3),3dose1defense,TRUE,TRUE,0,120,3 doses of Defence potion.,30,"Drink, Empty, Drop",Take,"15, 30, 3",134,19326,2697,69
134,null,cert_3dose1defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,133,-1,0,0
135,Defence potion(2),2dose1defense,TRUE,TRUE,0,90,2 doses of Defence potion.,25,"Drink, Empty, Drop",Take,3,136,19327,2384,69
136,null,cert_2dose1defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,135,-1,0,0
137,Defence potion(1),1dose1defense,TRUE,TRUE,0,60,1 dose of Defence potion.,20,"Drink, Empty, Drop",Take,3,138,19328,2621,69
138,null,cert_1dose1defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,137,-1,0,0
139,Prayer potion(3),3doseprayerrestore,TRUE,TRUE,0,152,3 doses of Prayer restore potion.,30,"Drink, Empty, Drop",Take,"15, 38, 18",140,19329,2697,69
140,null,cert_3doseprayerrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,139,-1,0,0
141,Prayer potion(2),2doseprayerrestore,TRUE,TRUE,0,114,2 doses of Prayer restore potion.,25,"Drink, Empty, Drop",Take,18,142,19330,2384,69
142,null,cert_2doseprayerrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,141,-1,0,0
143,Prayer potion(1),1doseprayerrestore,TRUE,TRUE,0,76,1 dose of Prayer restore potion.,20,"Drink, Empty, Drop",Take,18,144,19331,2621,69
144,null,cert_1doseprayerrestore,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,143,-1,0,0
145,Super attack(3),3dose2attack,TRUE,TRUE,0,180,3 doses of super Attack potion.,30,"Drink, Empty, Drop",Take,"15, 45, 7",146,19332,2697,69
146,null,cert_3dose2attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,145,-1,0,0
147,Super attack(2),2dose2attack,TRUE,TRUE,0,135,2 doses of super Attack potion.,25,"Drink, Empty, Drop",Take,7,148,19333,2384,69
148,null,cert_2dose2attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,147,-1,0,0
149,Super attack(1),1dose2attack,TRUE,TRUE,0,90,1 dose of super Attack potion.,20,"Drink, Empty, Drop",Take,7,150,19334,2621,69
150,null,cert_1dose2attack,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,149,-1,0,0
151,Fishing potion(3),3dosefisherspotion,TRUE,TRUE,0,200,3 doses of Fishing potion.,30,"Drink, Empty, Drop",Take,"15, 50, 31",152,19335,2697,69
152,null,cert_3dosefisherspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,151,-1,0,0
153,Fishing potion(2),2dosefisherspotion,TRUE,TRUE,0,150,2 doses of Fishing potion.,25,"Drink, Empty, Drop",Take,31,154,19336,2384,69
154,null,cert_2dosefisherspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,153,-1,0,0
155,Fishing potion(1),1dosefisherspotion,TRUE,TRUE,0,100,1 dose of Fishing potion.,20,"Drink, Empty, Drop",Take,31,156,19337,2621,69
156,null,cert_1dosefisherspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,155,-1,0,0
157,Super strength(3),3dose2strength,TRUE,TRUE,0,220,3 doses of super Strength potion.,30,"Drink, Empty, Drop",Take,"15, 55, 8",158,19338,2697,69
158,null,cert_3dose2strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,157,-1,0,0
159,Super strength(2),2dose2strength,TRUE,TRUE,0,165,2 doses of super Strength potion.,25,"Drink, Empty, Drop",Take,8,160,19339,2384,69
160,null,cert_2dose2strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,159,-1,0,0
161,Super strength(1),1dose2strength,TRUE,TRUE,0,110,1 dose of super Strength potion.,20,"Drink, Empty, Drop",Take,8,162,19340,2621,69
162,null,cert_1dose2strength,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,161,-1,0,0
163,Super defence(3),3dose2defense,TRUE,TRUE,0,264,3 doses of super Defence potion.,30,"Drink, Empty, Drop",Take,"15, 66, 10",164,19341,2697,69
164,null,cert_3dose2defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,163,-1,0,0
165,Super defence(2),2dose2defense,TRUE,TRUE,0,198,2 doses of super Defence potion.,25,"Drink, Empty, Drop",Take,10,166,19342,2384,69
166,null,cert_2dose2defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,165,-1,0,0
167,Super defence(1),1dose2defense,TRUE,TRUE,0,132,1 dose of super Defence potion.,20,"Drink, Empty, Drop",Take,10,168,19343,2621,69
168,null,cert_1dose2defense,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,167,-1,0,0
169,Ranging potion(3),3doserangerspotion,TRUE,TRUE,0,288,3 doses of ranging potion.,30,"Drink, Empty, Drop",Take,"15, 72, 5",170,19344,2697,69
170,null,cert_3doserangerspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,169,-1,0,0
171,Ranging potion(2),2doserangerspotion,TRUE,TRUE,0,216,2 doses of ranging potion.,25,"Drink, Empty, Drop",Take,5,172,19345,2384,69
172,null,cert_2doserangerspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,171,-1,0,0
173,Ranging potion(1),1doserangerspotion,TRUE,TRUE,0,144,1 dose of ranging potion.,20,"Drink, Empty, Drop",Take,5,174,19346,2621,69
174,null,cert_1doserangerspotion,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,173,-1,0,0
175,Antipoison(3),3doseantipoison,TRUE,FALSE,0,288,3 doses of antipoison potion.,30,"Drink, Empty, Drop",Take,"15, 5, 24",176,19347,2697,69
176,null,cert_3doseantipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,175,-1,0,0
177,Antipoison(2),2doseantipoison,TRUE,FALSE,0,216,2 doses of antipoison potion.,25,"Drink, Empty, Drop",Take,24,178,19348,2384,69
178,null,cert_2doseantipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,177,-1,0,0
179,Antipoison(1),1doseantipoison,TRUE,FALSE,0,144,1 dose of antipoison potion.,20,"Drink, Empty, Drop",Take,24,180,19349,2621,69
180,null,cert_1doseantipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,179,-1,0,0
181,Superantipoison(3),3dose2antipoison,TRUE,TRUE,0,288,3 doses of super antipoison potion.,30,"Drink, Empty, Drop",Take,"15, 48, 25",182,19350,2697,69
182,null,cert_3dose2antipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,181,-1,0,0
183,Superantipoison(2),2dose2antipoison,TRUE,TRUE,0,216,2 doses of super antipoison potion.,25,"Drink, Empty, Drop",Take,25,184,19351,2384,69
184,null,cert_2dose2antipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,183,-1,0,0
185,Superantipoison(1),1dose2antipoison,TRUE,TRUE,0,144,1 dose of super antipoison potion.,20,"Drink, Empty, Drop",Take,25,186,19352,2621,69
186,null,cert_1dose2antipoison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,185,-1,0,0
187,Weapon poison,weapon_poison,TRUE,TRUE,0,144,For use on daggers and projectiles.,25,"Empty, Drop",Take,"15, 60",188,15267,2789,69
188,null,cert_weapon_poison,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,187,-1,0,0
189,Zamorak brew(3),3dosepotionofzamorak,TRUE,TRUE,0,175,3 doses of Zamorak brew.,30,"Drink, Empty, Drop",Take,"15, 78, 14",190,19353,2697,69
190,null,cert_3dosepotionofzamorak,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,189,-1,0,0
191,Zamorak brew(2),2dosepotionofzamorak,TRUE,TRUE,0,150,2 doses of Zamorak brew.,25,"Drink, Empty, Drop",Take,14,192,19354,2384,69
192,null,cert_2dosepotionofzamorak,FALSE,FALSE,0,1,Swap this note at any bank for the equivalent item.,0,Drop,Take,,191,-1,0,0
